#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>aa</b> do in <b>Visual mode</b>?<br><small>This config · Treesitter objects</small>	Select around a parameter or call argument.<br><br><small>Exact notation: <code>aa</code></small>	nvim config config::treesitter mode::operator mode::visual
What does <b>ia</b> do in <b>Visual mode</b>?<br><small>This config · Treesitter objects</small>	Select inside a parameter or call argument.<br><br><small>Exact notation: <code>ia</code></small>	nvim config config::treesitter mode::operator mode::visual
What does <b>ys{motion}{char}</b> do in <b>Normal mode</b>?<br><small>This config · nvim-surround</small>	Add a surrounding pair around a motion.<br><br><small>Exact notation: <code>ys{motion}{char}</code></small>	nvim config config::surround mode::normal
What does <b>ds{char}</b> do in <b>Normal mode</b>?<br><small>This config · nvim-surround</small>	Delete the specified surrounding pair.<br><br><small>Exact notation: <code>ds{char}</code></small>	nvim config config::surround mode::normal
What does <b>cs{target}{replacement}</b> do in <b>Normal mode</b>?<br><small>This config · nvim-surround</small>	Change one surrounding pair into another.<br><br><small>Exact notation: <code>cs{target}{replacement}</code></small>	nvim config config::surround mode::normal
What does <b>S{char}</b> do in <b>Visual mode</b>?<br><small>This config · nvim-surround</small>	Surround the visual selection; visual gS conflicts with Flash.<br><br><small>Exact notation: <code>S{char}</code></small>	nvim config config::surround mode::visual collision
What does <b>gs</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Flash</small>	Jump to a labeled target while preserving standalone substitute s.<br><br><small>Exact notation: <code>gs</code></small>	nvim config config::flash mode::normal mode::visual mode::operator
What does <b>gS</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Flash</small>	Jump to a Treesitter node; visual mode collides with nvim-surround and load order decides the winner.<br><br><small>Exact notation: <code>gS</code></small>	nvim config config::flash mode::normal mode::visual mode::operator collision
What does <b>r</b> do in <b>Operator-pending mode</b>?<br><small>This config · Flash</small>	Use a remote Flash target during an operator.<br><br><small>Exact notation: <code>r</code></small>	nvim config config::flash mode::operator
What does <b>R</b> do in <b>Visual mode</b>?<br><small>This config · Flash</small>	Search and select Treesitter nodes.<br><br><small>Exact notation: <code>R</code></small>	nvim config config::flash mode::operator mode::visual
What does <b>Ctrl+S</b> do in <b>Command-line mode</b>?<br><small>This config · Flash search</small>	Toggle Flash labels while entering a command-line search.<br><br><small>Exact notation: <code>&lt;C-s&gt;</code></small>	nvim config config::flash mode::command
What does <b>Space u</b> do in <b>Normal mode</b>?<br><small>This config · Undotree</small>	Toggle the visual undo-history tree.<br><br><small>Exact notation: <code>&lt;leader&gt;u</code></small>	nvim config config::undotree mode::normal
What does <b>y</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yanky</small>	Yank through Yanky&#x27;s persistent history ring.<br><br><small>Exact notation: <code>y</code></small>	nvim config config::yanky mode::normal mode::visual
What does <b>p</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yanky</small>	Put after from Yanky&#x27;s current ring entry.<br><br><small>Exact notation: <code>p</code></small>	nvim config config::yanky mode::normal mode::visual
What does <b>P</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yanky</small>	Put before from Yanky&#x27;s current ring entry.<br><br><small>Exact notation: <code>P</code></small>	nvim config config::yanky mode::normal mode::visual
What does <b>gp</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yanky</small>	Put after and leave the cursor after the inserted text.<br><br><small>Exact notation: <code>gp</code></small>	nvim config config::yanky mode::normal mode::visual
What does <b>gP</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Yanky</small>	Put before and leave the cursor after the inserted text.<br><br><small>Exact notation: <code>gP</code></small>	nvim config config::yanky mode::normal mode::visual
What does <b>Ctrl+P</b> do in <b>Normal mode</b>?<br><small>This config · Yanky</small>	After a put, switch to the previous Yanky ring entry.<br><br><small>Exact notation: <code>&lt;C-p&gt;</code></small>	nvim config config::yanky mode::normal
What does <b>Ctrl+N</b> do in <b>Normal mode</b>?<br><small>This config · Yanky</small>	After a put, switch to the next Yanky ring entry.<br><br><small>Exact notation: <code>&lt;C-n&gt;</code></small>	nvim config config::yanky mode::normal
What does <b>Ctrl+A</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Dial</small>	Increment numbers, dates, booleans, or configured word pairs.<br><br><small>Exact notation: <code>&lt;C-a&gt;</code></small>	nvim config config::dial mode::normal mode::visual
What does <b>Ctrl+X</b> do in <b>Normal mode or Visual mode</b>?<br><small>This config · Dial</small>	Decrement numbers, dates, booleans, or configured word pairs.<br><br><small>Exact notation: <code>&lt;C-x&gt;</code></small>	nvim config config::dial mode::normal mode::visual
What does <b>g Ctrl+A</b> do in <b>Visual mode</b>?<br><small>This config · Dial</small>	Increment additively across a visual block.<br><br><small>Exact notation: <code>g&lt;C-a&gt;</code></small>	nvim config config::dial mode::visual
What does <b>g Ctrl+X</b> do in <b>Visual mode</b>?<br><small>This config · Dial</small>	Decrement additively across a visual block.<br><br><small>Exact notation: <code>g&lt;C-x&gt;</code></small>	nvim config config::dial mode::visual
What does <b>(</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware parenthesis pair.<br><br><small>Exact notation: <code>(</code></small>	nvim config config::autopairs mode::insert
What does <b>)</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Move over an existing paired closing parenthesis when appropriate.<br><br><small>Exact notation: <code>)</code></small>	nvim config config::autopairs mode::insert
What does <b>[</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware square-bracket pair.<br><br><small>Exact notation: <code>[</code></small>	nvim config config::autopairs mode::insert
What does <b>]</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Move over an existing paired closing square bracket when appropriate.<br><br><small>Exact notation: <code>]</code></small>	nvim config config::autopairs mode::insert
What does <b>{</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware brace pair.<br><br><small>Exact notation: <code>{</code></small>	nvim config config::autopairs mode::insert
What does <b>}</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Move over an existing paired closing brace when appropriate.<br><br><small>Exact notation: <code>}</code></small>	nvim config config::autopairs mode::insert
What does <b>&#x27;</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware single-quote pair.<br><br><small>Exact notation: <code>&#x27;</code></small>	nvim config config::autopairs mode::insert
What does <b>&quot;</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware double-quote pair.<br><br><small>Exact notation: <code>&quot;</code></small>	nvim config config::autopairs mode::insert
What does <b>`</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert or navigate a context-aware backtick pair.<br><br><small>Exact notation: <code>`</code></small>	nvim config config::autopairs mode::insert
What does <b>Backspace</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Delete an empty paired delimiter together when appropriate.<br><br><small>Exact notation: <code>&lt;BS&gt;</code></small>	nvim config config::autopairs mode::insert
What does <b>Enter</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Insert a pair-aware newline; Blink&#x27;s default preset does not claim Enter.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::autopairs mode::insert
What does <b>Alt+E</b> do in <b>Insert mode</b>?<br><small>This config · autopairs</small>	Open autopairs fast-wrap for the surrounding expression.<br><br><small>Exact notation: <code>&lt;M-e&gt;</code></small>	nvim config config::autopairs mode::insert
What does <b>Space q s</b> do in <b>Normal mode</b>?<br><small>This config · sessions</small>	Restore the saved session for the current cwd.<br><br><small>Exact notation: <code>&lt;leader&gt;qs</code></small>	nvim config config::sessions mode::normal
What does <b>Space q S</b> do in <b>Normal mode</b>?<br><small>This config · sessions</small>	Select from saved sessions.<br><br><small>Exact notation: <code>&lt;leader&gt;qS</code></small>	nvim config config::sessions mode::normal
What does <b>Space q l</b> do in <b>Normal mode</b>?<br><small>This config · sessions</small>	Restore the most recently saved session from any cwd.<br><br><small>Exact notation: <code>&lt;leader&gt;ql</code></small>	nvim config config::sessions mode::normal
What does <b>Space q d</b> do in <b>Normal mode</b>?<br><small>This config · sessions</small>	Stop persistence from saving on this exit.<br><br><small>Exact notation: <code>&lt;leader&gt;qd</code></small>	nvim config config::sessions mode::normal
What does <b>Space x x</b> do in <b>Normal mode</b>?<br><small>This config · Trouble</small>	Toggle workspace diagnostics in Trouble.<br><br><small>Exact notation: <code>&lt;leader&gt;xx</code></small>	nvim config config::trouble mode::normal
What does <b>Space x X</b> do in <b>Normal mode</b>?<br><small>This config · Trouble</small>	Toggle diagnostics for the current buffer.<br><br><small>Exact notation: <code>&lt;leader&gt;xX</code></small>	nvim config config::trouble mode::normal
What does <b>Space x s</b> do in <b>Normal mode</b>?<br><small>This config · Trouble</small>	Toggle document symbols without stealing editor focus.<br><br><small>Exact notation: <code>&lt;leader&gt;xs</code></small>	nvim config config::trouble mode::normal
What does <b>Space x l</b> do in <b>Normal mode</b>?<br><small>This config · Trouble</small>	Toggle the location list in Trouble.<br><br><small>Exact notation: <code>&lt;leader&gt;xl</code></small>	nvim config config::trouble mode::normal
What does <b>Space x q</b> do in <b>Normal mode</b>?<br><small>This config · Trouble</small>	Toggle quickfix in Trouble.<br><br><small>Exact notation: <code>&lt;leader&gt;xq</code></small>	nvim config config::trouble mode::normal
What does <b>Space x t</b> do in <b>Normal mode</b>?<br><small>This config · Trouble TODO</small>	Toggle the focused TODO tree with scratch previews.<br><br><small>Exact notation: <code>&lt;leader&gt;xt</code></small>	nvim config config::trouble config::todo mode::normal
What does <b>Enter</b> do in <b>Normal mode</b>?<br><small>This config · Trouble TODO</small>	Open the real file at the TODO and close the tree.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::trouble context::todo mode::normal
What does <b>2-LeftMouse</b> do in <b>mouse input</b>?<br><small>This config · Trouble TODO</small>	Open the real file at the TODO and close the tree.<br><br><small>Exact notation: <code>&lt;2-LeftMouse&gt;</code></small>	nvim config config::trouble context::todo context::mouse
What does <b>p</b> do in <b>Normal mode</b>?<br><small>This config · Trouble TODO</small>	Toggle the selected TODO&#x27;s scratch preview.<br><br><small>Exact notation: <code>p</code></small>	nvim config config::trouble context::todo mode::normal
What does <b>Space S F</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce org</small>	Fetch orgs and adopt the Salesforce CLI default target; requires an SF project.<br><br><small>Exact notation: <code>&lt;leader&gt;SF</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S o</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce org</small>	Set the local target org only; requires an SF project.<br><br><small>Exact notation: <code>&lt;leader&gt;So</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S O</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce org</small>	Set the global target org without refreshing metadata.<br><br><small>Exact notation: <code>&lt;leader&gt;SO</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S b</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce org</small>	Open the target org in a browser.<br><br><small>Exact notation: <code>&lt;leader&gt;Sb</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S B</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce org</small>	Open the current metadata component in the org.<br><br><small>Exact notation: <code>&lt;leader&gt;SB</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S r</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce retrieve</small>	Retrieve the current file from the target org.<br><br><small>Exact notation: <code>&lt;leader&gt;Sr</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S p</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce deploy</small>	Save and deploy the current file.<br><br><small>Exact notation: <code>&lt;leader&gt;Sp</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S x</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce cancel</small>	Cancel active SF terminal and background actions; requires current SF project context.<br><br><small>Exact notation: <code>&lt;leader&gt;Sx</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S d</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce diff</small>	Diff the current file against the target org.<br><br><small>Exact notation: <code>&lt;leader&gt;Sd</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S l</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce logs</small>	Pull a Salesforce debug log.<br><br><small>Exact notation: <code>&lt;leader&gt;Sl</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S e</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce terminal</small>	Toggle the integrated Salesforce terminal float.<br><br><small>Exact notation: <code>&lt;leader&gt;Se</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S V</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce Vlocity</small>	Open scoped or full Vlocity DataPack retrieval.<br><br><small>Exact notation: <code>&lt;leader&gt;SV</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S t</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce tests</small>	Run the Apex test under the cursor.<br><br><small>Exact notation: <code>&lt;leader&gt;St</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S T</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce tests</small>	Run the Apex test under the cursor with coverage.<br><br><small>Exact notation: <code>&lt;leader&gt;ST</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S a</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce tests</small>	Run all Apex tests in the current file.<br><br><small>Exact notation: <code>&lt;leader&gt;Sa</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S A</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce tests</small>	Run all Apex tests in the file with coverage.<br><br><small>Exact notation: <code>&lt;leader&gt;SA</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S R</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce tests</small>	Repeat the last Apex test run.<br><br><small>Exact notation: <code>&lt;leader&gt;SR</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S v</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce coverage</small>	Toggle Apex coverage signs.<br><br><small>Exact notation: <code>&lt;leader&gt;Sv</code></small>	nvim config config::salesforce mode::normal
What does <b>[v</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce coverage</small>	Jump to the previous uncovered line.<br><br><small>Exact notation: <code>[v</code></small>	nvim config config::salesforce mode::normal
What does <b>]v</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce coverage</small>	Jump to the next uncovered line.<br><br><small>Exact notation: <code>]v</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S Q</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce SOQL</small>	Open the schema-aware SOQL builder.<br><br><small>Exact notation: <code>&lt;leader&gt;SQ</code></small>	nvim config config::salesforce config::soql mode::normal
What does <b>Space S q</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce SOQL</small>	Save and run the current .soql file.<br><br><small>Exact notation: <code>&lt;leader&gt;Sq</code></small>	nvim config config::salesforce config::soql mode::normal
What does <b>Space S q</b> do in <b>Visual mode</b>?<br><small>This config · Salesforce SOQL</small>	Run the visual selection as SOQL.<br><br><small>Exact notation: <code>&lt;leader&gt;Sq</code></small>	nvim config config::salesforce config::soql mode::visual
What does <b>Space S m</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce metadata</small>	Pick cached metadata to retrieve.<br><br><small>Exact notation: <code>&lt;leader&gt;Sm</code></small>	nvim config config::salesforce::metadata mode::normal
What does <b>Space S u</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce metadata</small>	Open the cached multi-select metadata browser.<br><br><small>Exact notation: <code>&lt;leader&gt;Su</code></small>	nvim config config::salesforce::metadata mode::normal
What does <b>Space S U</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce metadata</small>	Refresh Common or All metadata inventory.<br><br><small>Exact notation: <code>&lt;leader&gt;SU</code></small>	nvim config config::salesforce::metadata mode::normal
What does <b>Space S P</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce manifest</small>	Search XML package manifests below manifest/.<br><br><small>Exact notation: <code>&lt;leader&gt;SP</code></small>	nvim config config::salesforce::manifest mode::normal
What does <b>Space S s</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce schema</small>	Refresh SObject definitions for Apex language support.<br><br><small>Exact notation: <code>&lt;leader&gt;Ss</code></small>	nvim config config::salesforce mode::normal
What does <b>Space S c</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce ctags</small>	Create Apex ctags; requires universal-ctags.<br><br><small>Exact notation: <code>&lt;leader&gt;Sc</code></small>	nvim config config::salesforce mode::normal
What does <b>q</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce terminal</small>	Hide visible SFTerm floats without stopping their jobs.<br><br><small>Exact notation: <code>q</code></small>	nvim config config::salesforce context::terminal mode::normal
What does <b>Esc</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce terminal</small>	Cancel active Salesforce actions from an SFTerm buffer.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::salesforce context::terminal mode::normal
What does <b>Ctrl+C</b> do in <b>Normal mode</b>?<br><small>This config · Salesforce terminal</small>	Cancel active Salesforce actions; terminal-mode Ctrl-C remains native.<br><br><small>Exact notation: <code>&lt;C-c&gt;</code></small>	nvim config config::salesforce context::terminal mode::normal
What does <b>Esc</b> do in <b>Terminal-job mode</b>?<br><small>This config · Salesforce terminal</small>	Send cancellation to active Salesforce actions without leaving terminal mode.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::salesforce context::terminal mode::terminal
What does <b>Backslash f</b> do in <b>Normal mode</b>?<br><small>This config · SOQL draft</small>	Pick fields and replace the draft&#x27;s SELECT list.<br><br><small>Exact notation: <code>\f</code></small>	nvim config config::soql context::draft mode::normal
What does <b>Backslash o</b> do in <b>Normal mode</b>?<br><small>This config · SOQL draft</small>	Change the SObject or open its existing draft.<br><br><small>Exact notation: <code>\o</code></small>	nvim config config::soql context::draft mode::normal
What does <b>Backslash r</b> do in <b>Normal mode</b>?<br><small>This config · SOQL draft</small>	Save and run the query through the standard data API.<br><br><small>Exact notation: <code>\r</code></small>	nvim config config::soql context::draft mode::normal
What does <b>Backslash t</b> do in <b>Normal mode</b>?<br><small>This config · SOQL draft</small>	Save and run the query through the Tooling API.<br><br><small>Exact notation: <code>\t</code></small>	nvim config config::soql context::draft mode::normal
What does <b>Tab</b> do in <b>the picker</b>?<br><small>This config · SOQL field picker</small>	Toggle the current field selection.<br><br><small>Exact notation: <code>&lt;Tab&gt;</code></small>	nvim config config::soql context::picker
What does <b>Enter</b> do in <b>the picker</b>?<br><small>This config · SOQL field picker</small>	Confirm selected fields and update the draft.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::soql context::picker
What does <b>Tab</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Toggle the current member or whole category.<br><br><small>Exact notation: <code>&lt;Tab&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+A</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Toggle all entries matching the current filter.<br><br><small>Exact notation: <code>&lt;C-a&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+E</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Expand or collapse the category; fetch it first if uncached.<br><br><small>Exact notation: <code>&lt;C-e&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Enter</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Retrieve selected members or all cached members of selected categories.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+G</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Generate a timestamped package.xml from the selection.<br><br><small>Exact notation: <code>&lt;C-g&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+D</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Deploy matching local metadata; explicit member selections are required.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+X</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Delete remote metadata after dry-run and confirmations; local files remain.<br><br><small>Exact notation: <code>&lt;C-x&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Ctrl+U</b> do in <b>the picker</b>?<br><small>This config · Salesforce metadata browser</small>	Refresh the current metadata type.<br><br><small>Exact notation: <code>&lt;C-u&gt;</code></small>	nvim config config::salesforce::metadata context::picker
What does <b>Enter</b> do in <b>the picker</b>?<br><small>This config · Salesforce manifest picker</small>	Retrieve the selected package manifest.<br><br><small>Exact notation: <code>&lt;CR&gt;</code></small>	nvim config config::salesforce::manifest context::picker
What does <b>Ctrl+D</b> do in <b>the picker</b>?<br><small>This config · Salesforce manifest picker</small>	Confirm and deploy the selected package manifest.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim config config::salesforce::manifest context::picker
What does <b>Ctrl+D</b> do in <b>the popup</b>?<br><small>This config · which-key popup</small>	Scroll the which-key popup downward; outside it, core half-page scrolling applies.<br><br><small>Exact notation: <code>&lt;C-d&gt;</code></small>	nvim config config::which-key context::popup
What does <b>Ctrl+U</b> do in <b>the popup</b>?<br><small>This config · which-key popup</small>	Scroll the which-key popup upward; outside it, core half-page scrolling applies.<br><br><small>Exact notation: <code>&lt;C-u&gt;</code></small>	nvim config config::which-key context::popup
What does <b>Esc</b> do in <b>the popup</b>?<br><small>This config · which-key popup</small>	Close the which-key popup.<br><br><small>Exact notation: <code>&lt;Esc&gt;</code></small>	nvim config config::which-key context::popup
What does <b>ciw</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Change the inner word under the cursor, then enter Insert mode.<br><br><small>Exact notation: <code>ciw</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>diw</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete the inner word under the cursor.<br><br><small>Exact notation: <code>diw</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>daw</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete a word together with adjacent whitespace.<br><br><small>Exact notation: <code>daw</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>yiw</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Yank the inner word under the cursor.<br><br><small>Exact notation: <code>yiw</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>ci&quot;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Change the text inside double quotes, keeping the quotes.<br><br><small>Exact notation: <code>ci&quot;</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>da&quot;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete double-quoted text together with its quotes.<br><br><small>Exact notation: <code>da&quot;</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>ci(</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Change text inside parentheses, keeping the parentheses.<br><br><small>Exact notation: <code>ci(</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>da(</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete a parenthesized expression including its parentheses.<br><br><small>Exact notation: <code>da(</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>ci{</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Change text inside braces, keeping the braces.<br><br><small>Exact notation: <code>ci{</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>da{</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete a braced block including its braces.<br><br><small>Exact notation: <code>da{</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>cit</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Change the contents inside the surrounding HTML/XML tag.<br><br><small>Exact notation: <code>cit</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>dat</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete the surrounding HTML/XML tag and its contents.<br><br><small>Exact notation: <code>dat</code></small>	nvim native native::recipes native::text_objects mode::normal
What does <b>ggVG</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Select the entire buffer linewise.<br><br><small>Exact notation: <code>ggVG</code></small>	nvim native native::recipes native::visual mode::normal
What does <b>gg=G</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Reindent the entire buffer.<br><br><small>Exact notation: <code>gg=G</code></small>	nvim native native::recipes native::operators mode::normal
What does <b>yyp</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Duplicate the current line below it; this config performs yank and put through Yanky.<br><br><small>Exact notation: <code>yyp</code></small>	nvim native native::recipes native::yanks_registers mode::normal config::override
What does <b>yyP</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Duplicate the current line above it; this config performs yank and put through Yanky.<br><br><small>Exact notation: <code>yyP</code></small>	nvim native native::recipes native::yanks_registers mode::normal config::override
What does <b>3yyp</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Yank three lines and paste them after the current line; this can interleave with the original block.<br><br><small>Exact notation: <code>3yyp</code></small>	nvim native native::recipes native::counts native::yanks_registers mode::normal config::override
What does <b>3yy2jp</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Yank three lines, move to the original block end, and paste an adjacent duplicate below it.<br><br><small>Exact notation: <code>3yy2jp</code></small>	nvim native native::recipes native::counts native::yanks_registers mode::normal config::override
What does <b>yy3p</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Yank one line and paste three copies below.<br><br><small>Exact notation: <code>yy3p</code></small>	nvim native native::recipes native::counts native::yanks_registers mode::normal config::override
What does <b>3yy</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Yank the current line plus the next two lines.<br><br><small>Exact notation: <code>3yy</code></small>	nvim native native::recipes native::counts native::yanks_registers mode::normal config::override
What does <b>3dd</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Delete the current line plus the next two lines.<br><br><small>Exact notation: <code>3dd</code></small>	nvim native native::recipes native::counts native::operators mode::normal
What does <b>5 Ctrl+A</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Increment the supported value under the cursor by five; Dial owns this key in the config.<br><br><small>Exact notation: <code>5&lt;C-a&gt;</code></small>	nvim native native::recipes native::counts mode::normal config::override
What does <b>5 Ctrl+X</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Practical recipes</small>	Decrement the supported value under the cursor by five; Dial owns this key in the config.<br><br><small>Exact notation: <code>5&lt;C-x&gt;</code></small>	nvim native native::recipes native::counts mode::normal config::override
